name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Ryan Reaves,0.48666666666666664,0.47533333333333333,0.48000000000000004,40.354000000000006,4.764666666666667,38.6,14.2,202.86666666666667,12.0,8.133333333333333
Ryan Russell,0.45,0.43,0.45,34.14,3.44,35.0,13.0,35.0,8.0,7.0
Ryan Shannon,0.525,0.525,0.535,63.375,5.1775,65.5,23.0,26.0,22.75,10.5
Ryan Shea,0.475,0.495,0.48,17.745,0.51,15.5,17.0,16.0,8.5,18.5
Ryan Smyth,0.49500000000000005,0.48500000000000004,0.49,134.64666666666668,12.353333333333333,134.66666666666666,29.0,39.833333333333336,25.333333333333332,34.833333333333336
Ryan Spooner,0.4757142857142857,0.4928571428571429,0.49142857142857144,56.07,4.648571428571429,60.0,17.285714285714285,29.0,13.285714285714286,15.857142857142858
Ryan Sproul,0.5466666666666667,0.5566666666666666,0.5733333333333334,16.44333333333333,0.6766666666666666,16.0,9.666666666666666,6.0,3.0,4.333333333333333
Ryan Stanton,0.4925,0.5025,0.5125,28.615,0.9450000000000001,29.25,19.5,44.5,7.25,12.25
Ryan Stoa,0.52,0.4533333333333333,0.49,18.770000000000003,2.1999999999999997,20.0,5.333333333333333,15.333333333333334,2.6666666666666665,1.0
Ryan Stone,0.56,0.49,0.495,15.64,1.805,14.5,8.0,29.0,5.5,8.0
Ryan Strome,0.48500000000000004,0.48416666666666663,0.48583333333333334,96.25083333333333,9.333333333333334,98.66666666666667,32.5,49.5,24.666666666666668,34.666666666666664
Ryan Suter,0.531764705882353,0.5052941176470588,0.5029411764705882,86.98647058823529,3.328235294117647,86.0,65.70588235294117,50.705882352941174,18.58823529411765,29.647058823529413
Ryan Suzuki,0.7,0.62,0.53,0.74,0.01,0.0,0.0,2.0,0.0,0.0
Ryan Thang,0.79,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Vesce,0.43999999999999995,0.46499999999999997,0.47,12.38,1.385,13.5,4.5,9.5,2.0,1.0
Ryan White,0.43625,0.4425,0.44625,34.05,2.69625,34.75,16.0,95.75,8.0,7.75
Ryan Whitney,0.45166666666666666,0.4383333333333333,0.4366666666666667,29.866666666666664,1.2233333333333334,31.166666666666668,20.833333333333332,26.333333333333332,9.833333333333334,29.5
Ryan Wilson,0.45999999999999996,0.47333333333333333,0.47500000000000003,32.27166666666667,1.36,32.0,25.333333333333332,59.666666666666664,11.666666666666666,16.333333333333332
Ryan Winterton,0.445,0.455,0.47,8.73,0.56,9.0,3.0,11.5,2.0,2.0
